Date,SP500,NDX,DJI,EWJ,EEM,EFA,GLD,USO,IEF,HYG,VNQ,SPTSX,SXXP,ASX,UUP,FXE,CPI,FDFD
3/31/2022,4530.41,14838.49,34678.35,61.61,45.15,73.6,180.65,74.12,107.47,82.29,108.37,21890.16,455.86,4187.78,26.3,102.5888,8.5,0.32
2/28/2022,4373.94,14237.81,33892.6,62.94,46.73,73.22,178.38,67.48,112.12,83.67,102.54,21126.36,453.11,4157.77,25.88,104.06,7.9,0.07
1/31/2022,4515.55,14930.05,35131.86,64.08,48.84,75.82,168.09,62.48,112.57,84.7,106.24,21098.29,468.88,4191.81,25.87,104.39,7.5,0.07
12/31/2021,4766.18,16320.08,36338.3,66.96,48.85,78.68,170.96,54.36,115,87.01,116.01,21222.84,487.8,4208.02,25.63,105.76,7,0.07
11/30/2021,4567,16135.92,34483.72,66.33,48.84,76.84,165.5,47.91,115.8,85.64,106.74,20659.99,462.96,4025.87,25.7,105.5,6.8,0.07
10/29/2021,4605.38,15850.47,35819.56,68.4,50.92,80.49,166.65,57.15,114.63,86.93,109.04,21037.07,475.51,4129.16,25.25,107.64,6.2,0.07
9/30/2021,4307.54,14689.62,33843.92,70.25,50.38,78.01,164.22,52.56,115.22,87.49,101.78,20070.25,454.81,4058.96,25.31,107.97,5.4,0.07
8/31/2021,4522.68,15582.51,35360.73,68.4,52.41,80.64,169.69,48.04,117.17,88.09,108.58,20582.94,470.88,4109.96,24.89,110.18,5.3,0.05
7/30/2021,4395.26,14959.9,34935.47,67.11,51.6,79.49,169.82,50.66,117.71,87.84,106.29,20287.8,461.74,4030.24,24.77,110.78,5.4,0.07
6/30/2021,4297.5,14554.8,34502.51,67.54,55.15,78.88,165.63,49.88,115.49,88.04,101.79,20165.58,452.84,4014.74,24.83,110.81,5.4,0.05
5/31/2021,4204.11,13686.51,34529.45,68.58,54.87,80.83,178.38,45.42,114.4,87.18,99.88,19730.99,446.76,4016.13,24.22,114.05,5,0.02
4/30/2021,4181.17,13860.76,33874.85,67.42,53.98,78.11,165.66,43.27,113.99,87.44,99.08,19108.33,437.39,3983.85,24.58,112.58,4.2,0.03
3/31/2021,3972.89,13091.44,32981.55,68.52,53.34,75.87,159.96,40.53,112.93,87.18,91.86,18700.67,429.6,3831.05,25.12,109.87,2.6,0.05
2/26/2021,3811.15,12909.44,30932.37,68.22,53.73,74.01,161.81,41.31,115.76,86.44,87.87,18060.26,404.99,3702.4,24.52,113.14,1.7,0.08
1/29/2021,3714.24,12925.38,29982.62,66.99,53.31,72.39,172.61,35.18,118.64,86.97,84.96,17337.03,395.85,3641.93,24.42,113.87,1.4,0.08
12/31/2020,3756.07,12888.28,30606.48,67.56,51.67,72.96,178.36,33.01,119.95,87.3,84.93,17433.36,399.03,3673.63,24.24,114.74,1.4,0.08
11/30/2020,3621.63,12268.32,29638.64,64.39,48.73,70.15,166.67,30.97,120.39,86.32,84,17190.25,389.36,3542.87,24.82,112.13,1.2,0.08
10/30/2020,3269.96,11052.95,26501.6,58.24,44.71,61.39,176.2,25.25,120.06,83.88,76.59,15580.64,342.36,3151.27,25.37,109.54,1.2,0.08
9/30/2020,3363,11418.06,27781.7,59.07,44.09,63.65,177.12,28.29,121.82,83.9,78.96,16121.38,361.09,3282.25,25.35,110.37,1.4,0.08
8/31/2020,3500.31,12110.7,28430.05,58.02,44.54,64.98,184.83,30.58,121.51,85.03,81.75,16514.44,366.51,3342.44,24.9,112.42,1.3,0.08
7/31/2020,3271.12,10905.88,26428.32,54.33,43.29,62.05,185.43,29.07,122.8,85.39,81.39,16169.21,356.33,3282.02,25.28,111.06,1,0.08
6/30/2020,3100.29,10156.85,25812.88,54.92,39.99,60.87,167.37,28.06,121.87,81.62,78.53,15515.22,360.34,3410.93,26.32,105.99,0.6,0.08
5/29/2020,3044.31,9555.52,25383.11,55.41,37.73,59.64,162.91,25.88,121.94,82.42,77.43,15192.83,350.36,3363.67,26.6,104.78,0.1,0.05
4/30/2020,2912.43,9000.51,24345.72,51.76,36.64,56.57,158.8,19.12,121.67,80.43,76.11,14780.74,340.03,3262.51,26.79,103.54,0.3,0.04
3/31/2020,2584.59,7813.5,21917.16,49.39,34.13,53.46,148.05,33.68,121.48,77.07,69.85,13378.75,320.06,3107.42,26.83,104.3,1.5,0.02
2/28/2020,2954.22,8461.83,25409.36,52.96,40.52,62.24,148.38,75.6,117.26,86.04,87.33,16263.05,375.65,3673.61,26.53,104.5,2.3,1.58
1/31/2020,3225.52,8991.51,28256.03,57.75,42.11,67.48,149.33,86.72,114.04,87.53,93.93,17318.49,410.71,4057.47,26.28,105.04,2.5,1.59
12/31/2019,3230.78,8733.07,28538.44,59.24,44.87,69.44,142.9,102.48,110.22,87.94,92.79,17063.43,415.84,4196.47,25.97,106.3,2.3,1.56
11/29/2019,3140.98,8403.69,28051.41,59.43,42.54,68.18,137.86,92.96,111.57,86.94,93.07,17040.2,407.43,4066.73,26.91,104.51,2.1,1.56
10/31/2019,3037.56,8083.83,27046.23,58.68,42.58,67.42,142.43,90.4,112.51,86.81,94.3,16483.16,396.75,3993.46,26.59,105.87,1.8,1.55
9/30/2019,2976.74,7749.45,26916.83,56.74,40.87,65.21,138.87,90.72,112.47,87.17,93.25,16658.63,393.15,4061.74,27.1,103.56,1.7,1.9
8/30/2019,2926.46,7691,26403.28,53.92,40.19,63.21,143.75,91.68,114.01,87.16,92.22,16442.07,379.48,3953.02,26.87,104.5,1.7,2.11
7/31/2019,2980.38,7848.78,26864.27,54.35,41.77,64.45,133.21,96.32,109.87,86.93,88.89,16406.56,385.77,4134.03,26.73,105.27,1.8,2.37
6/28/2019,2941.76,7671.08,26599.96,54.58,42.91,65.73,133.2,96.32,110.02,87.18,87.4,16382.2,384.87,4056.88,25.97,108.27,1.6,2.37
5/31/2019,2752.06,7127.96,24815.04,52.72,40.71,63.4,123.33,88.8,108.91,84.9,86.89,16037.49,369.06,3923.87,26.32,106.44,1.8,2.38
4/30/2019,2945.83,7781.46,26592.91,55.42,43.93,66.76,121.2,106.32,105.9,86.94,86.77,16580.73,391.35,4067.98,26.17,106.89,2,2.45
3/29/2019,2834.4,7378.77,25928.68,54.72,42.92,64.86,122.01,100,106.67,86.47,86.91,16102.09,379.09,3978.28,26.03,107.02,1.9,2.41
2/28/2019,2784.49,7097.53,25916,54.36,42.44,64.27,123.99,95.6,104.11,85.75,83.99,15999.01,372.8,3888.81,25.64,108.56,1.5,2.4
1/31/2019,2704.1,6906.84,24999.67,54.28,43.1,62.68,124.75,90.8,104.88,85.11,83.41,15540.6,358.67,3825.62,25.39,109.31,1.6,2.4
12/31/2018,2506.85,6329.96,23327.46,50.69,39.06,58.78,121.25,77.28,104.2,81.1,74.57,14322.86,337.65,3675.06,25.45,109.48,1.9,2.4
11/30/2018,2760.17,6949.01,25538.46,55.34,41.08,62.77,115.54,85.84,101.78,83.6,81.98,15197.82,357.49,3823.34,25.92,108.27,2.2,2.18
10/31/2018,2711.74,6967.1,25115.76,54.84,39.16,62.46,115.15,110.32,100.66,84.35,78.32,15027.28,361.61,3904.23,25.82,108.41,2.5,2.18
9/28/2018,2913.98,7627.65,26458.31,60.23,42.92,67.99,112.76,124.16,101.17,86.44,80.68,16073.14,383.18,4127.91,25.26,111.16,2.3,2.15
8/31/2018,2901.52,7654.55,25964.82,58.22,43.17,67.34,113.51,117.68,102.61,86.36,84.05,16262.88,382.26,4106.14,25.19,111.21,2.7,1.91
7/31/2018,2816.29,7231.98,25415.19,58.53,44.86,68.88,115.99,114.24,101.78,86.12,81.94,16434.01,391.61,4253.31,24.98,112.1,2.9,1.9
6/29/2018,2718.37,7040.8,24271.41,57.91,43.33,66.97,118.65,120.48,102.51,85.08,81.45,16277.73,379.93,4202.25,24.94,112.06,2.9,1.9
5/31/2018,2705.27,6967.73,24415.84,59.74,45.69,69.4,123.1,108.4,102.51,85.38,78.89,16061.5,383.06,4222.2,24.76,112.24,2.8,1.69
4/30/2018,2648.05,6605.57,24163.15,60.64,46.92,70.74,124.59,110.4,101.7,85.7,76.09,15607.88,385.32,4127.68,24.13,116.04,2.5,1.68
3/30/2018,2640.87,6581.13,24103.11,60.68,48.28,69.68,125.79,104.72,103.19,85.64,75.47,15367.29,370.87,3894.17,23.61,118.33,2.4,1.67
2/28/2018,2713.83,6854.42,25029.2,61.07,48.02,70.27,125,98.96,102.17,86.18,73.35,15442.68,379.63,3981.61,23.69,117.41,2.2,1.3
1/31/2018,2823.81,6949.99,26149.39,62.94,51.03,73.84,127.65,103.84,103.3,87.3,79.45,15951.67,395.46,4137.66,23.25,119.58,2.1,1.32
12/29/2017,2673.61,6396.42,24719.22,59.93,47.12,70.31,123.65,96.08,105.57,87.26,82.98,16209.13,389.18,4221.82,24.03,115.61,2.1,1.31
11/30/2017,2647.58,6365.56,24272.35,59.91,46.1,70.11,121.1,91.76,105.7,87.78,84.39,16067.48,386.69,4033.84,24.19,114.73,2.2,1.07
10/31/2017,2575.26,6248.56,23377.24,58.65,46.28,69.63,120.67,87.44,106.16,88.47,82.2,16025.59,395.22,4117.69,24.58,112.38,2,1.06
9/29/2017,2519.36,5979.3,22405.09,55.71,44.81,68.48,121.58,83.44,106.52,88.76,83.09,15634.94,388.16,4049.89,24.18,114.1,2.2,1.05
8/31/2017,2471.65,5988.6,21948.1,54.71,44.83,66.9,125.82,77.04,108.24,88.6,84.04,15211.87,373.88,4072.98,24.03,115.03,1.9,1.07
7/31/2017,2470.3,5880.33,21891.12,54.76,43.8,66.93,120.75,82.24,106.85,88.91,84.26,15143.87,377.85,4046.2,24.07,114.45,1.7,1.06
6/30/2017,2423.41,5646.92,21349.63,53.65,41.39,65.2,118.02,76,106.61,88.39,83.23,15182.19,379.37,4002.18,24.75,110.48,1.6,1.05
5/31/2017,2411.8,5788.8,21008.65,53.29,41.2,66.06,120.62,79.68,107.32,88.65,82.19,15349.91,389.99,4116.08,25.08,108.77,1.9,0.82
4/28/2017,2384.2,5583.53,20940.51,51.86,40.06,63.8,120.77,81.92,106.6,88.12,82.79,15586.13,387.09,3962.49,25.57,105.52,2.2,0.82
3/31/2017,2362.72,5436.23,20663.22,51.5,39.39,62.29,118.72,85.12,105.59,87.78,82.59,15547.75,381.14,3990,25.95,103.41,2.4,0.81
2/28/2017,2363.64,5330.31,20812.24,51.23,37.99,60.34,119.23,91.6,105.65,88.29,85.26,15399.24,370.24,3953.42,26.11,102.78,2.7,0.56
1/31/2017,2278.87,5116.77,19864.09,50.57,37.34,59.63,115.55,90.56,105.05,87.34,82.37,15385.96,360.12,3858.26,25.73,104.81,2.5,0.56
12/30/2016,2238.83,4863.62,19762.6,48.86,35.01,57.73,109.61,93.76,104.82,86.55,82.53,15287.59,361.42,3873.22,26.46,102.26,2.1,0.5
11/30/2016,2198.81,4810.81,19123.58,49.89,35.5,56.79,111.75,87.44,105.26,85.65,80.39,15082.85,341.99,3692.4,26.25,102.98,1.7,0.3
10/31/2016,2126.15,4801.27,18142.42,50.52,37.14,57.82,121.94,84.24,110.06,86.02,81.76,14787.27,338.97,3768.14,25.42,106.75,1.6,0.31
9/30/2016,2168.27,4875.7,18308.15,50.16,37.45,59.13,125.64,87.44,111.88,87.26,86.74,14725.86,342.92,3755.34,24.68,109.35,1.5,0.28
8/31/2016,2170.95,4771.06,18400.88,49.12,36.53,58.35,124.78,82.88,111.77,86.7,88.97,14597.95,343.53,3697.19,24.82,108.65,1.1,0.3
7/29/2016,2173.6,4730.23,18432.24,48.24,36.205,58.035,128.98,78.08,113.07,85.41,92.45,14582.74,341.89,3653.83,24.67,108.96,0.8,0.3
6/30/2016,2098.86,4417.7,17929.99,46,34.36,55.82,126.47,92.56,112.9523,84.7,88.67,14064.54,329.88,3515.45,24.84,108.17,1,0.3
5/31/2016,2096.96,4523.89,17787.2,47.16,33.12,58.38,116.06,94.96,109.73,83.61,83.67,14065.78,347.45,3429.77,24.84,108.59,1,0.28
4/29/2016,2065.3,4341.3,17773.64,45.68,34.39,58.43,123.65,90.4,110,83.85,81.83,13951.45,341.48,3421.7,24.1,111.84,1.1,0.29
3/31/2016,2059.74,4483.66,17685.09,45.64,34.25,57.16,117.64,77.6,110.34,81.69,83.8,13494.36,337.54,3395.19,24.54,111.18,0.9,0.26
2/29/2016,1932.23,4201.12,16516.5,43.56,30.32,53.63,118.64,72,110.57,80.08,76.71,12860.35,333.92,3345.84,25.49,106.37,1,0.27
1/29/2016,1940.24,4279.17,16466.3,46,30.57,55.48,106.9492,77.2,109.11,79.29,76.99,12822.13,342.27,3335.9,25.86,105.97,1.4,0.27
12/31/2015,2043.94,4593.27,17425.03,48.48,32.19,58.72,101.46,88,105.59,80.58,79.73,13009.95,365.81,3444.26,25.65,106.4,0.7,0.15
11/30/2015,2080.41,4664.51,17719.92,49.52,33.99,60.65,101.92,103.44,106.4,83.05,79.39,13469.83,385.43,3492.13,26.08,103.49,0.5,0.06
10/30/2015,2079.36,4648.83,17663.54,49.28,34.87,61.11,109.3,118.48,107.02,85.57,79.89,13529.17,375.47,3484.6,25.25,107.76,0.2,0.06
9/30/2015,1920.03,4181.06,16284.7,45.72,32.78,57.32,106.86,117.44,107.87,83.29,75.54,13306.96,347.77,3335.92,25.1,109.58,0,0.05
8/31/2015,1972.18,4274.58,16528.03,48.48,33.84,59.97,108.82,127.12,106.36,86.24,74.03,13859.12,362.79,3434.66,25.06,110.05,0.2,0.06
7/31/2015,2103.84,4588.91,17689.86,51.72,37.12,64.78,104.93,124.72,106.44,87.97,79,14468.44,396.37,3652.79,25.43,107.79,0.2,0.07
6/30/2015,2063.11,4396.76,17619.51,51.24,39.62,63.49,112.37,159.04,105.01,88.8,74.69,14553.33,381.31,3570.58,25.03,109.46,0.1,0.04
5/29/2015,2107.39,4508.25,18010.68,52.2,41.12,66.64,114.1,162.48,106.92,90.91,79.14,15014.09,399.87,3797.12,25.46,107.91,0,0.05
4/30/2015,2085.51,4414.25,17840.52,51.44,42.88,66.51,113.47,164.08,107.53,90.99,79.38,15224.52,395.79,3760.06,24.91,110.37,-0.2,0.07
3/31/2015,2067.89,4333.69,17776.12,50.12,40.13,64.17,113.66,134.72,108.39,90.61,84.31,14902.44,397.3,3663.58,25.9,105.71,-0.1,0
2/27/2015,2104.5,4440.67,18132.7,49.4,40.74,65.1,116.16,144.8,107.64,91.87,83.37,15234.34,392.21,3744.26,25.2,110.12,0,0.06
1/30/2015,1994.99,4148.43,17164.95,45.96,39.02,61.22,123.45,142.56,110.55,90.23,86.55,14673.48,367.05,3621.81,25.13,111.22,-0.1,0.04
12/31/2014,2058.9,4236.28,17823.07,44.96,39.29,60.84,113.58,162.88,105.99,89.6,81,14632.44,342.54,3532.74,23.97,119.14,0.8,0
11/28/2014,2067.56,4337.79,17828.24,46.48,41.5,63.99,112.11,204.64,106.19,91.13,80.57,14744.7,347.25,3593.32,23.47,122.46,1.3,0.08
10/31/2014,2018.05,4158.21,17390.52,48.24,42.15,63.95,112.66,245.04,105.02,92.53,78.99,14613.32,336.8,3503.46,23.09,123.49,1.7,0.05
9/30/2014,1972.29,4049.45,17042.9,47.08,41.56,64.12,116.21,275.28,103.62,91.95,71.85,14960.51,343.08,3533.93,22.87,124.48,1.7,0.01
8/29/2014,2003.37,4082.56,17098.45,47.2,45.06,66.71,123.86,286.08,104.9,94.24,77.18,15625.73,342,3639.54,22.02,129.54,1.7,0.05
7/31/2014,1930.67,3892.5,16563.3,48,43.82,66.59,123.39,290.52,103.16,92.48,74.9,15330.74,335.99,3585.62,21.74,132.09,2,0.06
6/30/2014,1960.23,3849.48,16826.6,48.16,43.23,68.37,128.04,311.04,103.58,95.2,74.84,15146.01,341.86,3600.19,21.26,135.12,2.1,0.01
5/30/2014,1923.57,3736.82,16717.17,46.32,42.55,69.41,120.43,301.44,103.98,95.05,74.69,14604.16,344.24,3655.01,21.47,134.52,2.1,0.06
4/30/2014,1883.95,3582.02,16580.84,44.32,41.33,68.32,124.22,290.56,102.31,94.34,72.94,14651.87,337.89,3619.83,21.28,136.94,2,0.07
3/31/2014,1872.34,3595.74,16457.66,45.32,41.01,67.2,123.61,292.72,101.73,94.39,70.62,14335.31,334.31,3555.59,21.46,136.03,1.5,0.02
2/28/2014,1859.45,3696.1,16321.71,46.44,39.48,67.51,127.62,293.92,102.47,94.93,70.73,14209.59,338.02,3666.66,21.38,136.35,1.1,0.06
1/31/2014,1782.59,3521.92,15698.85,45.32,38.19,63.61,120.09,278.4,102.28,93.25,67.32,13694.94,322.52,3496.51,21.83,133.29,1.6,0.04
12/31/2013,1848.36,3592,16576.66,48.556,41.795,67.095,116.12,282.56,99.24,92.88,64.56,13621.55,328.26,3609.63,21.52,135.99,1.5,0.01
11/29/2013,1805.81,3487.82,16086.41,48.24,42.35,66.24,120.7,267.68,101.69,93.42,65.5,13395.4,325.16,3548.45,21.7,134.33,1.2,0.06
10/31/2013,1756.54,3377.73,15545.75,47.62,42.455,65.88,127.74,277.52,102.75,93.43,69.13,13361.26,322.37,3585.32,21.625,134.29,1,0.05
9/30/2013,1681.55,3218.2,15129.67,47.68,40.755,63.801,128.18,294.8,102.11,91.58,66.14,12787.19,310.46,3443.85,21.63,133.85,1.2,0.01
8/30/2013,1632.97,3073.81,14810.31,43.48,38.02,59.17,134.62,307.84,100.41,91.35,64.5,12653.9,297.32,3410.43,22.19,130.84,1.5,0.08
7/31/2013,1685.73,3090.19,15499.54,44.9,39.01,60.35,127.96,298.88,102,92.98,69.34,12486.64,299.58,3509.94,22.095,131.74,2,0.09
6/28/2013,1606.28,2909.6,14909.6,44.88,38.5,57.3,119.11,273.44,102.5,90.88,68.72,12129.11,285.02,3289.71,22.56,128.93,1.8,0.01
5/31/2013,1630.74,2981.76,15115.57,43.36,41.195,60.07,133.92,260.88,105.32,92.92,70.78,12650.42,300.88,3473.82,22.61,128.78,1.4,0.08
4/30/2013,1597.57,2887.44,14839.8,46.8,43.29,61.94,142.77,265.28,108.83,95.85,75.28,12456.5,296.72,3390.18,22.2,130.53,1.1,0.12
3/29/2013,1569.19,2818.69,14578.54,43.2,42.77,58.98,154.47,278,107.34,94.35,70.53,12749.9,293.78,3380.64,22.6,127.09,1.5,0.05
2/28/2013,1514.68,2738.58,14054.49,40.84,43.205,58.215,153,264.48,107.16,94.04,69.09,12821.83,289.94,3349.39,22.37,129.49,2,0.16
1/31/2013,1498.11,2731.53,13860.58,39.88,44.215,58.98,161.2,282.24,106.1,93.67,68.26,12685.2,287.22,3287.38,21.62,134.72,1.6,0.15
12/31/2012,1426.19,2660.93,13104.14,39,44.35,56.86,162.0204,266.96,107.49,93.35,65.8,12433.53,279.68,3093.41,21.81,130.96,1.7,0.03
11/30/2012,1416.18,2677.88,13025.58,37.3,41.785,55.07,166.05,260.48,108.8,93.05,64.21,12239.36,275.78,3065.3,21.92,129.09,1.8,0.17
10/31/2012,1412.16,2647.92,13096.46,36.22,41.15,53.575,166.83,254.24,107.89,92.5923,64.38,12422.91,270.3,3024.4,21.89,128.7,2.2,0.17
9/28/2012,1440.67,2799.19,13437.13,36.68,41.325,53,171.89,272.96,108.46,92.3,64.9691,12317.46,268.48,2998.86,21.92,127.69,2,0.08
8/31/2012,1406.58,2772.24,13090.84,36.24,39.28,51.6,164.22,287.12,108.99,92.33,66.73,11949.26,266.23,2972.63,22.3,124.98,1.7,0.15
7/31/2012,1379.32,2642.53,13008.68,35.96,39.12,50,156.49,261.44,109.28,91.7,66.74,11664.71,261.38,2927.27,22.71,122.3,1.4,0.15
6/29/2012,1362.16,2615.72,12880.09,37.64,39.135,49.96,155.19,254.64,107.93,91.29,65.43,11596.56,251.17,2891.45,22.47,125.88,1.7,0.1
5/31/2012,1310.33,2524.87,12393.45,35.56,37.7,47.76,151.62,260.88,108.55,87.77,62.52,11513.21,239.73,2767.09,22.99,123.03,1.7,0.17
4/30/2012,1397.91,2723.68,13213.63,38.96,42.215,53.75,161.88,317.44,105.69,91.2,65.47,12292.69,257.28,2984.67,21.81,131.71,2.3,0.14
3/30/2012,1408.47,2755.27,13212.04,40.7,42.945,54.89,162.12,313.84,103.28,90.7185,63.65,12392.18,263.32,3002.78,21.91,132.72,2.7,0.08
2/29/2012,1365.68,2623.1,12952.07,39.96,44.33,54.66,164.286,327.36,105.12,92.126,60.99,12644.01,264.32,3043.91,21.96,132.62,2.9,0.1
1/31/2012,1312.41,2467.95,12632.91,38.18,42.11,52.14,169.31,302.56,106.48,90.74,61.7,12452.15,254.41,2932.91,22.12,130.27,2.9,0.1
12/30/2011,1257.61,2277.83,12217.56,36.44,37.94,49.53,151.99,304.88,105.57,89.43,58,11955.09,244.54,2857.88,22.47,128.92,3,0.01
11/30/2011,1246.96,2295.2,12045.68,37.72,40.01,51.24,170.13,310.24,103.9,86.6,55.93,12204.11,240.08,2835.84,22.06,133.85,3.4,0.06
10/31/2011,1253.3,2360.08,11955.01,37.6,40.815,52.38,167.34,285.92,103.51,89.28,58.14,12252.06,243.48,2860.86,21.57,137.87,3.5,0.07
9/30/2011,1131.42,2139.18,10913.38,37.84,35.095,47.78,158.06,243.92,105.07,82.83,50.87,11623.84,226.18,2654.38,22.305,133.47,3.9,0.08
8/31/2011,1218.89,2241.01,11613.53,39.4,42.75,53.57,177.72,276.08,103,88.03,57.61,12768.7,237.43,2800.51,21.07,143.12,3.8,0.1
